"Timestamp","1a. Wat was je score op de GapMinder test? Je hoeft je niet te schamen als het slecht was :-). De meeste mensen score vrij slecht.","1b. Wat is de eerste letter van de voornaam van je moeder?","2. In welke klasgroep zit je?","3. Met welke hand schrijf je ?","4. Wat is je geslacht?","5. Wat is je schoenmaat?","6a. Wat is je lichaamslengte (in cm)?","6b. Wat is je gewicht (in kg)?","7a. Wat is je bloedgroep: AB0?","7b. Ga je je laten vaccineren?","8. Hoeveel broers/zussen heb je?","9. In hoeveel complottheorieën geloof je?","10. Welke afstudeerrichting denk je te kiezen?","11. Wat is je favoriete vrijetijdsbesteding?","12. Hoeveel uren wiskunde had je in het laatste jaar middelbaar?","13. Hoe belangrijk is het voor jou om informaticus te worden?","14. Hoeveel uur werk je gemiddelde per week voor school? (buiten de schooluren)","15. Wat is de afstand van thuis/kot naar de KdG campus Groenplaats (in km)?","16. Hoe kom je naar school?","17. Wanneer gaat volgens jou de horeca terug open mogen?","18.  Hoeveel zakgeld krijg je of verdien je zelf per maand?","19. Hoeveel stukken/porties fruit eet je per dag?","20. Rangschik volgende fruitsoorten in volgorde van voorkeur: Aardbei, Ananas, Appel, Banaan, Kers, Kiwi, Meloen, Peer, Pruim, Sinaasappel","21. Welk besturingssysteem gebruik je het liefst?","22. Stel dat je maar één app op je smartphone mocht zetten, welke zou je dan kiezen","23a. Als je jezelf op politieke spectrum zou plaatsen waar zou je dan staan op de HORIZONTALE as (Sociaal - Liberaal)?","23b. Als je jezelf op politieke spectrum zou plaatsen waar zou je dan staan op de VERTICALE as (Progressief - Conservatief)?","24. Welk zoogdier zou jij als klasmascotte verkiezen? Je hebt de keuze uit: Panter, Poema, Vos, Wolf, Bruine beer, Bever, Das, Bizon, Wasbeer, Otter. Sorteer ze van 1 tot 10.","25. Wat is volgens jou het zwaarste vak uit het eerste jaar?","26. Welke vak uit het eerste jaar TI vind je het meest  boeiend?","27. In het hoger onderwijs wordt 1 studiepunt gelijkgesteld aan 25 uren studiebelasting.  Wat is jou inschatting?	","28. De laatste vraag is de makkelijkste. Je hoeft helemaal niets in te vullen."
"2021/03/02 8:59:31 am CET","31%","M","INF106","Rechts","Man","43","170","75","A","Ja","1","10","Applicatieontwikkeling - Artificial Intelligence","Sport (beoefenen/supporteren)","6","Groot","05:00","11.1","Met de fiets;Met de tram;Met de bus","2021-05-22","50.00","2","1=Banaan,2=Appel,3=Ananas,4=Aardbei,5=Meloen,6=Kiwi,7=Kers,8=Peer,9=Pruim,10=Sinaasappel","Windows","Sociaal Netwerk App","5","5","1=Panter,2=Poema,3=Vos,4=Wolf,5=Bruine beer,6=Bever,7=Das,8=Bizon,9=Wasbeer,10=Otter","Programmeren 1 - Java","Programmeren 1 - Java","<= 10 uren",""
"2021/03/02 9:03:36 am CET","23%","v","INF105","Rechts","Man","42","180","70","O","Ja","0","0","Systeem en netwerkbeheer","Sport (beoefenen/supporteren)","4","Zeer Groot","20:00","37","Met de fiets;Met de trein;Met de tram","2023-02-01","€45","1 of minder","1=Aardbei,2=Kers,3=Meloen,4=Appel,5=Peer,6=Kiwi,7=Ananas,8=Sinaasappel,9=Banaan,10=Pruim","Windows","GPS App","8","8","1=Panter,2=Poema,3=Vos,4=Wolf,5=Bruine beer,6=Bizon,7=Das,8=Bever,9=Wasbeer,9=Otter","User interfaces 1","Netwerken 1","11-15 uren",""
"2021/03/02 10:01:41 am CET","15%","M","INF103","Rechts","Man","44","190","92","Onbekend","Nee","3","0","Applicatieontwikkeling - Full Stack","Gamen","3","Groot","20:00","40","Met de trein;Met de tram;Met de bus","2021-06-01","/","1 of minder","1=Aardbei,2=Ananas,3=Appel,4=Banaan,5=Kers,6=Kiwi,7=Meloen,8=Peer,9=Pruim,10=Sinaasappel","Windows","Sociaal Netwerk App","3","4","1=Panter,2=Poema,3=Vos,4=Wolf,5=Bruine beer,6=Bever,7=Das,8=Bizon,9=Wasbeer,10=Otter","Data science 1","Programmeren 1 - Java","16-20 uren",""
"2021/03/02 10:05:55 am CET","23","H","INF103","Rechts","Man","43","170","71","A","Nee","2","0","Applicatieontwikkeling - Full Stack","Andere","5","Matig","03:00","13","Te voet;Met de fiets;Met de trein","2021-06-01","300","1 of minder","1=Sinaasappel,2=Aardbei,3=Appel,4=Banaan,5=Kiwi,6=Kers,7=Meloen,8=Peer,9=Pruim,10=Ananas","Windows","GPS App","7","9","1=Panter,2=Poema,3=Vos,4=Wolf,5=Bruine beer,6=Bever,7=Das,8=Bizon,9=Wasbeer,10=Otter","Software engineering 1","Programmeren 1 - Java","16-20 uren",""
"2021/03/02 10:08:42 am CET","31%","I","INF103","Links","Man","41","185","70","A","Nee","1","0","Applicatieontwikkeling - Full Stack","Sport (beoefenen/supporteren)","4","Extreem","30:00","20","Te voet;Met de trein","2021-07-31","300","1 of minder","1=Appel,2=Kiwi,3=Meloen,4=Peer,5=Aardbei,6=Pruim,7=Banaan,8=Ananas,9=Sinaasappel,10=Kers","Windows","Agenda App","8","5","1=Das,2=Bever,3=Bruine beer,4=Otter,5=Poema,6=Panter,7=Vos,8=Bizon,9=Wasbeer,10=Wolf","Management 1","Programmeren 1 - Java","21-25 uren",""
"2021/03/02 10:10:49 am CET","25%","e","INF103","Rechts","Man","47","190","84","A","Ja","1","0","Applicatieontwikkeling - Artificial Intelligence","Gamen","8","Extreem","10:30","30","Met de fiets;Met de trein;Met de bus","2021-06-30","0","1 of minder","1=Aardbei,2=Ananas,3=Banaan,4=Sinaasappel,5=Kiwi,6=Kers,7=Peer,8=Meloen,9=Pruim,10=Appel","Windows","Sociaal Netwerk App","5","5","1=Panter,2=Poema,3=Vos,4=Wolf,5=Bruine beer,6=Bever,7=Das,8=Bizon,9=Wasbeer,10=Otter","Management 1","Data science 1","21-25 uren","helemaal niets"
"2021/03/02 10:15:12 am CET","85%","C","INF103","Rechts","Man","34","183","90","A","Ja","1","0","Applicatieontwikkeling - Full Stack","Gamen","4","Matig","20:00","4","Met de tram","2021-04-19","€0","1 of minder","1=Banaan,2=Appel,3=Aardbei,4=Meloen,5=Kiwi,6=Peer,7=Sinaasappel,8=Kers,9=Ananas,10=Pruim","Windows","Sociaal Netwerk App","7","5","1=Wolf,2=Vos,3=Bever,4=Wasbeer,5=Otter,6=Panter,7=Bruine beer,8=Das,9=Poema,10=Bizon","Computersystemen 1","Programmeren 1 - Java","11-15 uren",""
"2021/03/02 11:04:02 am CET","61%","A","INF105","Rechts","Man","44","187","64","A","Ja","3","0","Applicatieontwikkeling - Full Stack","Sport (beoefenen/supporteren)","3","Groot","15:00","37 ","Met de auto","2021-03-15","genoeg","1 of minder","1=Appel,2=Banaan,3=Peer,4=Meloen,5=Aardbei,6=Sinaasappel,7=Kiwi,8=Pruim,9=Kers,10=Ananas","Windows","Sociaal Netwerk App","10","0","1=Wasbeer,2=Panter,3=Poema,4=Wolf,5=Das,6=Otter,7=Bruine beer,8=Bizon,9=Vos,10=Bever","Databanken 1","Netwerken 1","26-30 uren",""
"2021/03/02 1:29:58 pm CET","8%","G","INF105","Links","Man","46","184","65","O","Ja","3","1","Systeem en netwerkbeheer","Gamen","6","Zeer Groot","10:00","41","Met de trein","2054-11-13","60","1 of minder","1=Kers,2=Sinaasappel,3=Aardbei,4=Kiwi,5=Meloen,6=Appel,7=Banaan,8=Peer,9=Ananas,10=Pruim","Linux","GPS App","3","3","1=Otter,2=Vos,3=Panter,4=Wolf,5=Bruine beer,6=Bever,7=Bizon,8=Das,9=Wasbeer,10=Poema","Management 1","Computersystemen 1","16-20 uren","ok merci"
"2021/03/02 2:20:23 pm CET","23%","A","INF105","Rechts","Man","43","175","63","O","Nee","2","10","Systeem en netwerkbeheer","Sport (beoefenen/supporteren)","4","Groot","10:00","10","Met de tram;Met de auto","2099-04-01","0.1","2","1=Banaan,2=Aardbei,3=Ananas,4=Appel,5=Kers,6=Kiwi,7=Meloen,8=Peer,9=Pruim,10=Sinaasappel","iOS","Compas App","5","5","1=Bever,2=Das,3=Panter,4=Poema,5=Vos,6=Wolf,7=Bruine beer,8=Bizon,9=Wasbeer,10=Otter","Programmeren 1 - Java","Netwerken 1","21-25 uren","jammer"
