,Apparaat-ID,Apparaat,Datum,Uur,Meetwaarde,Eenheid,Kost (EUR),Meettype,Type apparaat
144,5653a456,wasmachine,2018-01-22,12:00,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
145,5653a456,wasmachine,2018-01-22,12:15,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
146,5653a456,wasmachine,2018-01-22,12:30,0.0002,kWh,0.0,electriciteit,WASHINGMACHINE
147,5653a456,wasmachine,2018-01-22,12:45,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
148,5653a456,wasmachine,2018-01-22,13:00,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
149,5653a456,wasmachine,2018-01-22,13:15,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
150,5653a456,wasmachine,2018-01-22,13:30,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
151,5653a456,wasmachine,2018-01-22,13:45,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
152,5653a456,wasmachine,2018-01-22,14:00,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
153,5653a456,wasmachine,2018-01-22,14:15,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
154,5653a456,wasmachine,2018-01-22,14:30,0.0002,kWh,0.0,electriciteit,WASHINGMACHINE
155,5653a456,wasmachine,2018-01-22,14:45,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
156,5653a456,wasmachine,2018-01-22,15:00,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
157,5653a456,wasmachine,2018-01-22,15:15,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
158,5653a456,wasmachine,2018-01-22,15:30,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
159,5653a456,wasmachine,2018-01-22,15:45,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
160,5653a456,wasmachine,2018-01-22,16:00,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
161,5653a456,wasmachine,2018-01-22,16:15,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
162,5653a456,wasmachine,2018-01-22,16:30,0.0002,kWh,0.0,electriciteit,WASHINGMACHINE
163,5653a456,wasmachine,2018-01-22,16:45,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
164,5653a456,wasmachine,2018-01-22,17:00,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
165,5653a456,wasmachine,2018-01-22,17:15,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
166,5653a456,wasmachine,2018-01-22,17:30,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
167,5653a456,wasmachine,2018-01-22,17:45,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
168,5653a456,wasmachine,2018-01-22,18:00,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
169,5653a456,wasmachine,2018-01-22,18:15,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
170,5653a456,wasmachine,2018-01-22,18:30,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
171,5653a456,wasmachine,2018-01-22,18:45,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
172,5653a456,wasmachine,2018-01-22,19:00,0.0002,kWh,0.0,electriciteit,WASHINGMACHINE
173,5653a456,wasmachine,2018-01-22,19:15,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
174,5653a456,wasmachine,2018-01-22,19:30,0.0001,kWh,0.0,electriciteit,WASHINGMACHINE
